record	uuid	code1	code2	code3	code4
1046	cfbqduhqtpsqew1d				
1056	5d7n3fzmn7srcsuj				
1061	fqcs5entcenqtte3			1	
1069	sw6emw0cyrd0ds2n			1	
1070	ptr1y764dpr9h3zx				
1078	d2qgvfpc0bsd6k6h			1	
1079	x4tghycuknd4w4j4				
1084	uyusgdt2qtqya26q				
1087	4dac4s7d68yjbyb6				
1088	bxe3b9rg1hkggwa4			1	
1089	cfb6ewzmueh79vzp				
1091	9449cred69m4herh				
1092	gszhx6gypfu3p8p4	7			
1094	n38xa4f7m44k7ttx				
1096	0d1stfxr8kpr9r4z			1	
1097	kyc68sp616upd62c	4			
1103	zh0s0ju5x6z4vpwv	12			
1104	08bfdfy4kd6kqwc9	6			
1105	g66a7e14t22tsz8z	7			
1106	2mwejra4x1hppmze			1	
1107	3j3cx2m90fchx9et	1			
1108	u4jsshee7sufkk92				
1109	t1vsggc5wb8z9gw2	99			
1116	qcmgzyb1yjrp40hb	1			
1117	mjfv2ndqsgk4xbc5	9			
1119	h3cppgc1jtt9gr0t	7			
1121	6rke8sgu4frtcy26				
1122	4r779kw0rmf3mppf			1	
1123	pbd4xn7v10cqwwuf	4	5		
1127	gmegqyexcytstccq	4	5		9
1128	c9z62gumgs3jgr70			1	
1129	c7j0tetv3j1n80j0				
1135	55u3k5hnu9p4ccas	7			
1136	js6e7b2v8qgfh233	1			
1141	nze2ddfpbc47qch2				
1143	v72x8v4pz2ttwufc			1	
1145	edyjeur77s8ab7x0				
1146	5jmcx95c1dewhqet				
1148	3bask8t2qfax5e4c			1	
1152	sc6gy7ehupwzdka3				
1153	8qj3yqk39yvptn2m				
1154	pgpcf18n12yzevjb	5			
1155	y1hz3ydgw284cdag				
1162	e35srt5uex2na7fb				
1163	rynbcdvp6wfmv0gc			1	
1164	4vjrsh8ek36yea12			1	
1170	b3p5xjb2906zw5se	4	6		
1171	c1va1k32tr3xea56	7			
1179	p6cpcbpjtpgjhkkt				
1184	4ebprp6ygjxw1c1t	5			
1191	5ytz0g7drjht7393			1	
1192	7aksqrt57dgdv1rh				
1198	nyjkuw900kt4tqr6				
1199	94uwwfpgydbgxb3g	7			
1200	3pu8pdddn6esqq5n	1			
1216	ybrg0c4nzbapw0xc				
1228	ucwkx72knn9a03f8			1	
1230	5rxm5d8gw73821f5	7			
1232	fayd9w9drw0agqbu	5			
1238	1g72v0aewdcns60q	1			
1242	p5f5xd6s6bm1ujf4	2	6		8
